Player,Age,G,MP,eFG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS
Anthony Johnson\johnsan02,25,56,11.4,0.384,0.5,0.7,0.718,0.9,1.3,0.6,0.1,0.6,2.8
Kerry Kittles\kittlke01,25,62,30.6,0.506,1.6,2,0.795,3.6,2.3,1.3,0.3,0.9,13
Travis Knight\knightr01,25,63,6.5,0.39,0.3,0.4,0.607,2,0.4,0.1,0.4,0.4,1.7
Felipe López\lopezfe01,25,65,12,0.431,1,1.7,0.615,1.9,0.7,0.5,0.3,0.8,4.5
Walter McCarty\mccarwa01,25,61,14.4,0.413,0.6,0.9,0.722,1.8,1.1,0.4,0.4,1.1,3.8
Antonio McDyess\mcdyean01,25,81,33.3,0.507,4,6.4,0.626,8.5,2,0.9,1.7,2.8,19.1
Jeff McInnis\mcinnje01,25,25,23.9,0.449,0.5,0.7,0.765,2.9,3.6,0.6,0.1,1.1,7.2
Steve Nash*\nashst01,25,56,27.4,0.559,1.3,1.5,0.882,2.2,4.9,0.7,0.1,1.8,8.6
Malik Rose\rosema01,25,74,18.1,0.458,1.9,2.7,0.722,4.5,0.6,0.5,0.7,1.3,6.7
Jerry Stackhouse\stackje01,25,82,38.4,0.456,7.5,9.2,0.815,3.8,4.5,1.3,0.4,3.8,23.6
Johnny Taylor\taylojo01,25,6,5.7,0.393,0,0,,1,0.2,0.2,0.2,0.3,1.8
Gary Trent\trentga01,25,11,27.4,0.493,1,1.9,0.524,4.7,2,0.7,0.3,2.3,13.7
Ben Wallace\wallabe01,25,81,24.2,0.503,0.7,1.4,0.474,8.2,0.8,0.9,1.6,0.8,4.8
John Wallace\wallajo01,25,60,13.3,0.467,1.4,1.7,0.804,2.3,0.4,0.2,0.2,1.1,6.5
Rasheed Wallace\wallara01,25,81,35.1,0.522,2.9,4.1,0.704,7,1.8,1.1,1.3,1.9,16.4
Alvin Williams\willial02,25,55,14.2,0.425,0.9,1.2,0.738,1.5,2.3,0.6,0.2,0.9,5.3
Dedric Willoughby\willode01,25,25,20.3,0.422,1.6,2,0.765,2,2.6,0.9,0.1,1.5,7.6
Cory Alexander\alexaco01,26,29,11.3,0.332,0.6,0.8,0.773,1.4,2,0.8,0.1,1,2.8
Shandon Anderson\andersh01,26,82,32.9,0.524,2.4,3.1,0.767,4.7,2.9,1.2,0.4,2.4,12.3
Drew Barry\barrydr01,26,16,9.9,0.561,0.3,0.3,0.8,0.8,2.1,0.1,0,0.8,2.6
Mario Bennett\bennema01,26,1,3,0,0,0,,2,0,0,0,0,0
Etdrick Bohannon\bohanet01,26,13,9.1,0.538,1.2,1.8,0.625,2.4,0.4,0.2,0.5,0.8,2.2
Ira Bowman\bowmair01,26,11,1.8,1,0.1,0.2,0.5,0.2,0.1,0.1,0,0.1,0.5
